shortdate,Close,Diff,next_day_close,next_day_diff,next_day_plus_diff,plus_diff,comment_count,rocket,gem,clown,joy,hands,bear,gorilla,money_face,rofl,rainbow,flex,cry,think,smile,fire,eyes,upchart,pray,downchart,mbag,plead,corn,egg,drops,huff,FD,DD,YOLO,ATH,HODL,DFV,MOON,STONKS,TENDIES,GAYBEARS,BAGHOLDER,DIAMONDHANDS,PAPERHANDS,JPOW,DEGENERATES,BTD,BHSL,HTL,WLTS,ATS
2021-04-05,691.0499877929688,-16.6600341796875,691.6199951171875,1.32000732421875,1,0,1378,36,3,18,5,2,9,1,2,5,4,1,1,4,3,1,1,1,2,0,6,1,0,1,3,3,3,3,9,6,0,2,7,5,7,0,1,1,2,2,1,0,0,0,0,0
2021-04-06,691.6199951171875,1.32000732421875,670.969970703125,-16.030029296875,0,1,556,6,0,2,2,1,2,0,0,0,2,0,0,0,3,0,2,1,0,1,0,0,0,0,0,2,3,5,0,0,0,1,3,0,3,2,1,0,0,1,0,0,0,0,0,0
2021-04-07,670.969970703125,-16.030029296875,683.7999877929688,6.41998291015625,1,0,573,8,0,5,2,0,3,2,0,1,3,0,1,0,0,1,0,1,1,1,2,2,1,1,1,2,3,3,1,0,0,1,1,0,4,1,0,0,1,3,0,0,0,0,0,0
2021-04-08,683.7999877929688,6.41998291015625,677.02001953125,-0.75,0,1,494,8,1,1,4,0,1,1,0,2,1,0,2,0,2,0,0,0,2,0,3,0,0,1,0,0,2,3,2,0,0,0,3,2,2,0,2,1,0,1,0,1,0,0,0,0
2021-04-09,677.02001953125,-0.75,701.97998046875,16.27996826171875,1,0,373,6,1,6,1,0,2,1,0,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0
2021-04-14,732.22998046875,-38.47003173828125,738.8499755859375,-4.25,0,0,1153,20,2,12,7,1,1,1,3,0,1,0,3,1,7,2,1,1,0,0,0,4,0,0,0,0,6,2,9,1,0,0,4,5,7,0,2,0,0,1,0,3,0,0,0,0
2021-04-15,738.8499755859375,-4.25,739.780029296875,11.1300048828125,1,0,821,16,3,7,5,2,3,0,3,1,1,0,2,3,1,0,0,0,2,0,2,0,0,0,1,2,1,0,4,0,0,0,4,1,6,1,0,0,1,0,0,0,0,0,0,0
2021-04-16,739.780029296875,11.1300048828125,714.6300048828125,-4.969970703125,0,1,419,5,0,1,3,1,2,0,1,0,2,1,0,1,2,1,1,1,0,0,1,0,0,0,0,0,2,3,3,2,0,1,6,2,1,0,0,1,0,0,0,2,0,0,0,0
2021-04-19,714.6300048828125,-4.969970703125,718.989990234375,1.57000732421875,1,0,694,8,1,3,2,1,2,1,0,0,2,0,4,2,3,1,0,1,1,0,0,1,0,0,0,0,1,3,2,1,0,1,3,2,2,0,0,0,0,0,0,6,0,0,0,0
2021-04-20,718.989990234375,1.57000732421875,744.1199951171875,39.3499755859375,1,1,488,4,1,2,6,1,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,1,0,0,0,0,2,2,2,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,744.1199951171875,39.3499755859375,719.6900024414062,-21.80999755859375,0,1,361,6,0,2,2,0,2,0,3,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,2,3,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
2021-04-22,719.6900024414062,-21.80999755859375,729.4000244140625,9.60003662109375,1,0,371,2,0,6,0,0,1,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,2,2,5,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0
2021-04-23,729.4000244140625,9.60003662109375,738.2000122070312,-2.79998779296875,0,1,282,5,0,5,2,0,3,0,1,0,1,0,0,1,4,0,1,0,0,0,2,1,0,0,0,0,1,2,2,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-04-26,738.2000122070312,-2.79998779296875,704.739990234375,-13.22003173828125,0,0,896,10,2,5,3,1,2,0,2,2,1,0,1,1,3,1,1,2,3,1,0,2,1,0,0,0,7,2,13,0,0,1,10,1,3,0,0,0,1,1,0,1,0,0,0,0
2021-04-27,704.739990234375,-13.22003173828125,694.4000244140625,-2.00994873046875,0,0,506,10,2,4,1,0,1,0,0,3,1,0,2,2,0,0,1,1,1,0,2,0,0,0,0,0,7,1,3,1,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0
2021-04-28,694.4000244140625,-2.00994873046875,677.0,-22.510009765625,0,0,344,4,3,3,1,0,2,2,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,2,2,0,0,0,4,0,1,0,3,0,0,2,0,0,0,0,0,0
2021-04-29,677.0,-22.510009765625,709.4400024414062,41.8499755859375,1,0,500,11,2,6,4,1,0,2,1,1,1,1,2,1,2,1,2,0,2,0,2,0,0,0,0,0,2,6,2,1,0,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0
2021-04-30,709.4400024414062,41.8499755859375,684.9000244140625,-18.89996337890625,0,1,92,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-05-03,684.9000244140625,-18.89996337890625,673.5999755859375,-5.34002685546875,0,0,368,4,1,4,3,0,2,0,0,0,1,0,1,0,2,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,673.5999755859375,-5.34002685546875,670.9400024414062,-10.1199951171875,0,0,314,5,0,6,1,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0
2021-05-05,670.9400024414062,-10.1199951171875,663.5399780273438,-17.22003173828125,0,0,288,3,0,1,2,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0
2021-05-06,663.5399780273438,-17.22003173828125,672.3699951171875,6.57000732421875,1,0,403,3,0,2,2,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,1,5,1,4,0,1,1,0,0,0,1,0,0,0,0
2021-05-07,672.3699951171875,6.57000732421875,629.0399780273438,-35.86004638671875,0,1,341,6,0,2,2,1,0,0,0,0,0,0,2,3,1,0,0,1,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2021-05-10,629.0399780273438,-35.86004638671875,617.2000122070312,17.96002197265625,1,0,596,4,0,6,8,0,3,0,0,3,3,1,2,0,0,1,1,1,0,0,0,1,0,1,0,0,0,5,6,1,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0
2021-05-11,617.2000122070312,17.96002197265625,589.8900146484375,-12.5999755859375,0,1,709,4,0,10,4,0,1,0,3,1,0,0,3,2,1,0,1,0,1,0,0,1,0,0,1,1,3,1,7,0,0,0,1,3,3,1,3,0,2,0,1,2,0,0,0,0
2021-05-12,589.8900146484375,-12.5999755859375,571.6900024414062,-29.8499755859375,0,0,624,3,1,13,1,0,4,1,0,2,1,1,0,3,1,0,1,1,1,1,0,1,0,0,0,1,6,1,4,2,0,0,7,1,0,0,2,0,0,0,0,3,0,0,0,0
2021-05-13,571.6900024414062,-29.8499755859375,589.739990234375,6.33001708984375,1,0,1078,9,2,12,11,1,3,0,1,1,2,3,1,4,2,2,2,0,0,1,1,2,2,0,0,1,3,6,5,3,0,0,5,1,1,3,5,1,0,0,0,7,0,0,0,0
2021-05-14,589.739990234375,6.33001708984375,576.8300170898438,1.280029296875,1,1,693,13,1,6,6,0,0,1,1,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,2,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
